wikiData	wikiDataLabel	tagInfo	tagClassLabel	mainCategoryLabel
http://www.wikidata.org/entity/P1329	phone number	Key:phone	Wikidata property encoding a vCard value	
http://www.wikidata.org/entity/P1329	phone number	Key:contact:phone	Wikidata property for items about people or organisations	
http://www.wikidata.org/entity/P1329	phone number	Key:phone	Wikidata property for items about people or organisations	
http://www.wikidata.org/entity/Q55493	goods station	Tag:landuse=railway		Category:Railway freight terminals
http://www.wikidata.org/entity/Q77115	community center	Tag:amenity=community_centre		Category:Community centres
http://www.wikidata.org/entity/Q160131	baker	Tag:craft=bakery	profession	Category:Bakers
http://www.wikidata.org/entity/Q160131	baker	Tag:craft=bakery	métier de bouche	Category:Bakers
http://www.wikidata.org/entity/Q179049	nature reserve	Tag:boundary=protected_area		Category:Nature reserves
http://www.wikidata.org/entity/Q188449	neurosurgery	Tag:healthcare:speciality=neurosurgery	medical specialty	Category:Neurosurgery
http://www.wikidata.org/entity/Q188449	neurosurgery	Tag:healthcare:speciality=neurosurgery	academic discipline	Category:Neurosurgery
http://www.wikidata.org/entity/Q189004	college	Tag:building=college		Category:Colleges
http://www.wikidata.org/entity/Q190928	shipyard	Tag:industrial=shipyard		Category:Shipyards
http://www.wikidata.org/entity/Q190928	shipyard	Tag:waterway=boatyard		Category:Shipyards
http://www.wikidata.org/entity/Q192087	Indian cuisine	Tag:cuisine=indian	national cuisine	Category:Indian cuisine
http://www.wikidata.org/entity/Q192786	Italian cuisine	Tag:cuisine=italian	national cuisine	Category:Italian cuisine
http://www.wikidata.org/entity/Q192786	Italian cuisine	Tag:cuisine=italian	culture of Italy	Category:Italian cuisine
http://www.wikidata.org/entity/Q194356	wind farm	Tag:plant:source=wind		Category:Wind farms
http://www.wikidata.org/entity/Q194356	wind farm	Tag:site=wind_farm		Category:Wind farms
http://www.wikidata.org/entity/Q206715	Second Intermediate Period of Egypt	Tag:historic:period=second_intermediate_period	periodization	Category:Second Intermediate Period of Egypt
http://www.wikidata.org/entity/Q206715	Second Intermediate Period of Egypt	Tag:historic:period=second_intermediate_period	era	Category:Second Intermediate Period of Egypt
http://www.wikidata.org/entity/Q207694	art museum	Tag:tourism=gallery	type of museum	Category:Art museums
http://www.wikidata.org/entity/Q211584	vending machine	Tag:amenity=vending_machine		Category:Vending machines
http://www.wikidata.org/entity/Q212912	Haredi Judaism	Tag:denomination=ultra_orthodox	Jewish religious movement	Category:Haredi Judaism
http://www.wikidata.org/entity/Q213454	sandpit	Tag:playground=sandpit	product category	
http://www.wikidata.org/entity/Q214995	telephone number	Key:contact:phone		Category:Telephone numbers
http://www.wikidata.org/entity/Q216212	motel	Tag:tourism=motel		Category:Motels
http://www.wikidata.org/entity/Q217107	travel agency	Tag:shop=travel_agency	service	Category:Travel agencies
http://www.wikidata.org/entity/Q217107	travel agency	Tag:shop=travel_agency	retail location	Category:Travel agencies
http://www.wikidata.org/entity/Q234953	Shaivism	Tag:denomination=shaivism	Hindu denomination	Category:Shaivism
http://www.wikidata.org/entity/Q236122	Renaissance architecture	Tag:building:architecture=renaissance	architectural style	Category:Renaissance architecture
http://www.wikidata.org/entity/Q236205	Kamakura period	Tag:historic:period=kamakura	style	Category:Kamakura period
http://www.wikidata.org/entity/Q236205	Kamakura period	Tag:historic:period=kamakura	historical period	Category:Kamakura period
http://www.wikidata.org/entity/Q271834	Archaic Greece	Tag:historic:period=archaic_greece	culture	Category:Archaic Greece
http://www.wikidata.org/entity/Q271834	Archaic Greece	Tag:historic:period=archaic_greece	art style	Category:Archaic Greece
http://www.wikidata.org/entity/Q271834	Archaic Greece	Tag:historic:period=archaic_greece	era	Category:Archaic Greece
http://www.wikidata.org/entity/Q271834	Archaic Greece	Tag:historic:period=archaic_greece	historical period	Category:Archaic Greece
http://www.wikidata.org/entity/Q273285	luge	Tag:sport=toboggan	type of sport	Category:Luge
http://www.wikidata.org/entity/Q274393	bakery	Tag:shop=bakery		Category:Bakeries
http://www.wikidata.org/entity/Q280903	Ferrocarril General Urquiza	Tag:network=Urquiza	railway network	Category:Ferrocarril General Urquiza
http://www.wikidata.org/entity/Q294297	public bookcase	Tag:amenity=public_bookcase	project	
http://www.wikidata.org/entity/Q297163	oil mill	Tag:industrial=oil_mill		Category:Oil mills
http://www.wikidata.org/entity/Q319604	passenger	Key:passenger	counting unit	
http://www.wikidata.org/entity/Q325358	railway platform	Tag:railway=platform		Category:Railway platforms
http://www.wikidata.org/entity/Q352466	fire flapper	Tag:emergency=fire_flapper		
http://www.wikidata.org/entity/Q370766	ground truth	Tag:source=survey	research method	
http://www.wikidata.org/entity/Q390490	dynamic passenger information	Tag:departures_board=realtime		Category:Public transport information systems
http://www.wikidata.org/entity/Q444222	New Zealand state highway network	Tag:network=NZ:SH	highway system	
http://www.wikidata.org/entity/Q465014	trampoline gymnastics	Tag:sport=trampoline	Olympic sport	Category:Trampolining
http://www.wikidata.org/entity/Q465014	trampoline gymnastics	Tag:sport=trampoline	sports discipline	Category:Trampolining
http://www.wikidata.org/entity/Q473972	protected area	Tag:boundary=protected_area		Category:Protected areas
http://www.wikidata.org/entity/Q493556	Alipay	Key:payment:alipay	brand	
http://www.wikidata.org/entity/Q493556	Alipay	Key:payment:alipay	mobile app	
http://www.wikidata.org/entity/Q493556	Alipay	Key:payment:alipay	company	
http://www.wikidata.org/entity/Q493556	Alipay	Key:payment:alipay	payment system	
http://www.wikidata.org/entity/Q493556	Alipay	Key:payment:alipay	super-app	
http://www.wikidata.org/entity/Q498002	aerial tramway	Tag:aerialway=cable_car		Category:Aerial tramways
http://www.wikidata.org/entity/Q498162	census-designated place in the United States	Tag:boundary=census		Category:Census-designated places in the United States
http://www.wikidata.org/entity/Q512232	New Apostolic Church	Tag:denomination=new_apostolic	Christian denomination	Category:New Apostolic Church
http://www.wikidata.org/entity/Q531953	outcrop	Tag:geological=outcrop		Category:Outcrops
http://www.wikidata.org/entity/Q557904	residential street	Tag:highway=residential	road type	
http://www.wikidata.org/entity/Q575727	museum ship	Tag:historic=ship	ship type	Category:Museum ships
http://www.wikidata.org/entity/Q575727	museum ship	Tag:historic=ship	type of museum	Category:Museum ships
http://www.wikidata.org/entity/Q579500	Argentine cuisine	Tag:cuisine=argentinian	national cuisine	Category:Argentine cuisine
http://www.wikidata.org/entity/Q587682	oil well	Tag:man_made=petroleum_well		Category:Oil wells
http://www.wikidata.org/entity/Q589282	ward or electoral division of the United Kingdom	Tag:political_division=ward		Category:Wards of the United Kingdom
http://www.wikidata.org/entity/Q641226	arena	Tag:amenity=events_centre		
http://www.wikidata.org/entity/Q660910	neurophysiology	Tag:healthcare:speciality=neurophysiology		Category:Neurophysiology
http://www.wikidata.org/entity/Q662860	smoking	Key:smoking		Category:Smoking
http://www.wikidata.org/entity/Q668064	hepatology	Tag:healthcare:speciality=hepatology	medical specialty	Category:Hepatology
http://www.wikidata.org/entity/Q678305	ultralight aviation	Tag:sport=ultralight_aviation		Category:Ultralight aviation
http://www.wikidata.org/entity/Q681337	cowshed	Tag:building=cowshed		
http://www.wikidata.org/entity/Q689880	oil platform	Tag:man_made=offshore_platform		Category:Oil platforms
http://www.wikidata.org/entity/Q695850	air base	Tag:military=airfield		Category:Military airbases
http://www.wikidata.org/entity/Q725252	satellite imagery	Key:source:imagery	product	Category:Satellite imagery
http://www.wikidata.org/entity/Q725252	satellite imagery	Key:source:imagery	photography genre	Category:Satellite imagery
http://www.wikidata.org/entity/Q728802	Asian Highway Network	Tag:network=AsianHighway	road network	Category:Asian Highway Network
http://www.wikidata.org/entity/Q735428	township in China	Tag:china_class=zhen		Category:Town in China
